"Player","Season","Team","GP","TOI","CA","FA","SA","GA","xGA","Sv%","FSv%","xSv%","dSv%","LDSA","LDGA","LDSv%","MDSA","MDGA","MDSv%","HDSA","HDGA","HDSv%","GSAA","GSAA30"
"COREY.CRAWFORD","2017-2018","CHI",28,1583.52,1517,1157,842,60,77.59,92.87,94.81,90.79,2.09,326,7,97.85,310,23,92.58,206,30,85.44,17.59,0.63
"CORY.SCHNEIDER","2017-2018","N.J",40,2291.98,2221,1681,1210,114,117.47,90.58,93.22,90.29,0.29,436,15,96.56,469,40,91.47,305,59,80.66,3.47,0.09
"CRAIG.ANDERSON","2017-2018","OTT",58,3230.54,3310,2438,1759,178,158.39,89.88,92.7,91,-1.11,723,25,96.54,640,55,91.41,396,98,75.25,-19.61,-0.33
"CURTIS.MCELHINNEY","2017-2018","TOR",18,959.11,906,722,509,34,45.62,93.32,95.29,91.04,2.28,201,3,98.51,191,14,92.67,117,17,85.47,11.62,0.68
"DARCY.KUEMPER","2017-2018","L.A/ARI",29,1595.89,1578,1164,833,67,77.17,91.96,94.24,90.74,1.22,336,8,97.62,298,20,93.29,199,39,80.4,10.17,0.37
"DAVID.RITTICH","2017-2018","CGY",20,1008.23,967,720,512,49,45.32,90.43,93.19,91.15,-0.72,223,6,97.31,181,18,90.06,108,25,76.85,-3.68,-0.22
"DEVAN.DUBNYK","2017-2018","MIN",60,3450.29,3365,2479,1769,145,130.87,91.8,94.15,92.6,-0.8,890,26,97.08,592,52,91.22,287,67,76.66,-14.13,-0.24
"EDDIE.LACK","2017-2018","N.J/CGY",8,343.61,312,251,177,23,15.88,87.01,90.84,91.03,-4.02,66,3,95.45,73,9,87.67,38,11,71.05,-7.12,-1.21
"FREDERIK.ANDERSEN","2017-2018","TOR",66,3888.51,3956,3059,2211,182,204.24,91.77,94.05,90.76,1.01,871,24,97.24,833,54,93.52,507,104,79.49,22.24,0.3
"HARRI.SATERI","2017-2018","FLA",9,492.61,455,361,271,24,23.79,91.14,93.35,91.22,-0.08,109,3,97.25,100,5,95,62,16,74.19,-0.21,-0.02
"HENRIK.LUNDQVIST","2017-2018","NYR",63,3502.51,3614,2743,2037,174,185.48,91.46,93.66,90.89,0.56,813,19,97.66,736,68,90.76,488,87,82.17,11.48,0.17
"JACK.CAMPBELL","2017-2018","L.A",5,246.62,254,180,133,11,8.99,91.73,93.89,93.24,-1.51,60,1,98.33,58,8,86.21,15,2,86.67,-2.01,-0.45
"JACOB.MARKSTROM","2017-2018","VAN",59,3354.4,3174,2389,1717,151,146.89,91.21,93.68,91.44,-0.24,709,19,97.32,640,55,91.41,368,77,79.08,-4.11,-0.07
"JAKE.ALLEN","2017-2018","STL",59,3316.96,3018,2186,1614,152,136.09,90.58,93.05,91.57,-0.99,654,21,96.79,633,62,90.21,327,69,78.9,-15.91,-0.3
"JAMES.REIMER","2017-2018","FLA",44,2411.4,2456,1860,1372,120,129.75,91.25,93.55,90.54,0.71,523,12,97.71,518,44,91.51,331,64,80.66,9.75,0.21
"JARED.COREAU","2017-2018","DET",7,380.45,370,280,203,27,17.52,86.7,90.36,91.37,-4.67,87,2,97.7,72,14,80.56,44,11,75,-9.48,-1.4
"JAROSLAV.HALAK","2017-2018","NYI",54,3004.04,3082,2330,1730,160,160.3,90.75,93.13,90.73,0.02,629,21,96.66,703,50,92.89,398,89,77.64,0.3,0.01
"JEFF.GLASS","2017-2018","CHI",15,820.9,841,626,452,46,44.23,89.82,92.65,90.21,-0.39,141,5,96.45,195,19,90.26,116,22,81.03,-1.77,-0.12
"J-F.BERUBE","2017-2018","CHI",11,563.15,618,463,341,39,33.35,88.56,91.58,90.22,-1.66,140,3,97.86,114,13,88.6,87,23,73.56,-5.65,-0.5
"JIMMY.HOWARD","2017-2018","DET",59,3307.63,3147,2371,1741,158,160.91,90.92,93.34,90.76,0.17,704,19,97.3,652,54,91.72,385,85,77.92,2.91,0.05
"JOHN.GIBSON","2017-2018","ANA",60,3428.46,3540,2674,1873,139,171.51,92.58,94.8,90.84,1.74,632,10,98.42,806,54,93.3,435,75,82.76,32.51,0.52
"JONATHAN.BERNIER","2017-2018","COL",37,1995.95,2005,1492,1087,95,87.18,91.26,93.63,91.98,-0.72,509,16,96.86,382,34,91.1,196,45,77.04,-7.82,-0.22
"JONATHAN.QUICK","2017-2018","L.A",64,3677.07,3524,2665,1867,147,170.93,92.13,94.48,90.84,1.28,756,25,96.69,689,48,93.03,422,74,82.46,23.93,0.38
"JON.GILLIES","2017-2018","CGY",11,604.94,512,393,280,29,26.69,89.64,92.62,90.47,-0.82,107,4,96.26,103,11,89.32,70,14,80,-2.31,-0.25
"JOONAS.KORPISALO","2017-2018","CBJ",18,1048.76,991,738,564,58,52.77,89.72,92.14,90.64,-0.93,215,9,95.81,208,26,87.5,141,23,83.69,-5.23,-0.28
"JUUSE.SAROS","2017-2018","NSH",26,1491.66,1468,1103,807,61,77.64,92.44,94.47,90.38,2.06,269,7,97.4,353,25,92.92,185,29,84.32,16.64,0.62
"KARI.LEHTONEN","2017-2018","DAL",37,1944.29,1786,1322,946,83,76.78,91.23,93.72,91.88,-0.66,427,16,96.25,338,33,90.24,181,34,81.22,-6.22,-0.2
"KEITH.KINKAID","2017-2018","N.J",41,2297.54,2271,1716,1214,106,112.43,91.27,93.82,90.74,0.53,464,10,97.84,461,37,91.97,289,59,79.58,6.43,0.16
"LAURENT.BROSSOIT","2017-2018","EDM",14,740.24,661,465,344,40,33.31,88.37,91.4,90.32,-1.94,124,3,97.58,135,21,84.44,85,16,81.18,-6.69,-0.58
"LINUS.ULLMARK","2017-2018","BUF",5,240.31,214,174,123,8,8.55,93.5,95.4,93.05,0.45,63,0,100,43,3,93.02,17,5,70.59,0.55,0.13
"LOUIS.DOMINGUE","2017-2018","ARI/T.B",19,1073.76,1050,787,578,61,53.9,89.45,92.25,90.67,-1.23,231,6,97.4,206,25,87.86,141,30,78.72,-7.1,-0.37
"MALCOLM.SUBBAN","2017-2018","VGK",22,1206.32,1147,858,603,53,53.44,91.21,93.82,91.14,0.07,247,5,97.98,224,21,90.62,132,27,79.55,0.44,0.02
"MARC-ANDRE.FLEURY","2017-2018","VGK",46,2628.39,2468,1877,1354,100,114.95,92.61,94.67,91.51,1.1,564,11,98.05,525,34,93.52,265,55,79.25,14.95,0.33
"MARTIN.JONES","2017-2018","S.J",60,3415.72,3309,2379,1700,145,156.55,91.47,93.91,90.79,0.68,652,16,97.55,646,58,91.02,402,71,82.34,11.55,0.2
"MATTHEW.MURRAY","2017-2018","PIT",34,1859.4,1718,1276,947,92,85.74,90.29,92.79,90.95,-0.66,336,12,96.43,379,33,91.29,232,47,79.74,-6.26,-0.2
"MATT.MURRAY","2017-2018","PIT",15,873.59,801,630,476,41,42.76,91.39,93.49,91.02,0.37,179,7,96.09,173,12,93.06,124,22,82.26,1.76,0.11
"MAXIME.LAGACE","2017-2018","VGK",16,873.19,820,596,431,57,40.78,86.77,90.44,90.54,-3.76,145,9,93.79,186,18,90.32,100,30,70,-16.22,-1.13
"MICHAL.NEUVIRTH","2017-2018","PHI",21,1038.72,985,724,530,45,47.65,91.51,93.78,91.01,0.5,230,6,97.39,193,13,93.26,107,26,75.7,2.65,0.15
"MIKE.CONDON","2017-2018","OTT",31,1626.41,1679,1235,898,88,78.4,90.2,92.87,91.27,-1.07,376,13,96.54,340,33,90.29,182,42,76.92,-9.6,-0.32
"MIKE.SMITH","2017-2018","CGY",55,3190.61,3083,2379,1686,141,154.79,91.64,94.07,90.82,0.82,682,25,96.33,625,40,93.6,379,76,79.95,13.79,0.25
"ONDREJ.PAVELEC","2017-2018","NYR",19,903.69,921,699,510,46,52.2,90.98,93.42,89.76,1.22,170,5,97.06,210,14,93.33,130,27,79.23,6.2,0.36
"PEKKA.RINNE","2017-2018","NSH",59,3475.45,3301,2464,1841,134,158.63,92.72,94.56,91.38,1.34,785,18,97.71,656,47,92.84,400,69,82.75,24.63,0.4
"PETER.BUDAJ","2017-2018","T.B",8,430.4,374,291,217,27,18.47,87.56,90.72,91.49,-3.93,75,1,98.67,98,10,89.8,44,16,63.64,-8.53,-1.18
"PETR.MRAZEK","2017-2018","DET/PHI",39,2076.71,2006,1498,1064,104,96.72,90.23,93.06,90.91,-0.68,407,15,96.31,410,34,91.71,247,55,77.73,-7.28,-0.21
"PHILIPP.GRUBAUER","2017-2018","WSH",35,1864.79,1834,1393,953,73,92.28,92.34,94.76,90.32,2.02,357,4,98.88,347,27,92.22,249,42,83.13,19.28,0.61
"ROBERTO.LUONGO","2017-2018","FLA",35,1965.97,1966,1500,1143,81,102.24,92.91,94.6,91.06,1.86,468,8,98.29,418,23,94.5,257,50,80.54,21.24,0.56
"ROBIN.LEHNER","2017-2018","BUF",53,2852.01,2770,2112,1561,143,132.35,90.84,93.23,91.52,-0.68,693,19,97.26,549,51,90.71,319,73,77.12,-10.65,-0.2
"RYAN.MILLER","2017-2018","ANA",28,1353.25,1335,1024,739,53,72.25,92.83,94.82,90.22,2.6,267,3,98.88,278,22,92.09,194,28,85.57,19.25,0.78
"SCOTT.DARLING","2017-2018","CAR",43,2475.12,2142,1664,1171,131,109.45,88.81,92.13,90.65,-1.84,438,16,96.35,451,44,90.24,282,71,74.82,-21.55,-0.55
"SCOTT.WEDGEWOOD","2017-2018","ARI",20,1096.49,1141,877,587,63,55.03,89.27,92.82,90.63,-1.36,234,5,97.86,204,23,88.73,149,35,76.51,-7.97,-0.41
"SEMYON.VARLAMOV","2017-2018","COL",51,2861.03,2982,2215,1595,128,136.15,91.97,94.22,91.46,0.51,692,22,96.82,575,38,93.39,328,68,79.27,8.15,0.15
"SERGEI.BOBROVSKY","2017-2018","CBJ",65,3891.23,3666,2711,1983,157,189.76,92.08,94.21,90.43,1.65,789,20,97.47,714,57,92.02,480,80,83.33,32.76,0.5
"STEVE.MASON","2017-2018","WPG",13,684.87,716,538,392,37,37.45,90.56,93.12,90.45,0.11,159,4,97.48,137,11,91.97,96,22,77.08,0.45,0.03
"THOMAS.GREISS","2017-2018","NYI",27,1491.75,1575,1193,879,95,79.47,89.19,92.04,90.96,-1.77,336,8,97.62,355,31,91.27,188,56,70.21,-15.53,-0.53
"TRISTAN.JARRY","2017-2018","PIT",26,1363.94,1284,931,687,63,63.88,90.83,93.23,90.7,0.13,273,5,98.17,264,24,90.91,150,34,77.33,0.88,0.04
"TUUKKA.RASK","2017-2018","BOS",54,3173.06,2769,2106,1514,125,131.46,91.74,94.06,91.32,0.43,630,16,97.46,553,43,92.22,331,66,80.06,6.46,0.13
