"Player","Season","Team","GP","TOI","CA","FA","SA","GA","xGA","Sv%","FSv%","xSv%","dSv%","LDSA","LDGA","LDSv%","MDSA","MDGA","MDSv%","HDSA","HDGA","HDSv%","GSAA","GSAA30"
"AARON.DELL","2017-2018","S.J",29,1522.09,1512,1078,775,67,71.5,91.35,93.78,90.77,0.58,321,8,97.51,262,18,93.13,192,41,78.65,4.5,0.17
"ADIN.HILL","2017-2018","ARI",4,240.75,237,182,130,14,14.28,89.23,92.31,89.02,0.22,48,4,91.67,41,2,95.12,41,8,80.49,0.28,0.06
"ALEXANDAR.GEORGIEV","2017-2018","NYR",10,514.76,563,437,331,27,29.4,91.84,93.82,91.12,0.73,140,2,98.57,115,10,91.3,76,15,80.26,2.4,0.22
"ALEX.LYON","2017-2018","PHI",11,479.8,435,329,232,22,21.32,90.52,93.31,90.81,-0.29,83,1,98.8,95,10,89.47,54,11,79.63,-0.68,-0.09
"ALEX.STALOCK","2017-2018","MIN",28,1490.28,1540,1136,787,71,65.1,90.98,93.75,91.73,-0.75,336,11,96.73,304,29,90.46,147,31,78.91,-5.9,-0.22
"AL.MONTOYA","2017-2018","MTL/EDM",13,691.73,624,476,346,37,33.16,89.31,92.23,90.42,-1.11,131,3,97.71,125,13,89.6,90,21,76.67,-3.84,-0.33
"ANDERS.NILSSON","2017-2018","VAN",27,1463.69,1488,1154,850,84,79.16,90.12,92.72,90.69,-0.57,324,14,95.68,324,31,90.43,202,39,80.69,-4.84,-0.17
"ANDREI.VASILEVSKIY","2017-2018","T.B",65,3825.18,3636,2767,2075,167,165.03,91.95,93.96,92.05,-0.09,850,20,97.65,877,77,91.22,348,70,79.89,-1.97,-0.03
"ANTON.FORSBERG","2017-2018","CHI",35,1714.78,1605,1204,921,85,87.1,90.77,92.94,90.54,0.23,358,10,97.21,318,28,91.19,245,47,80.82,2.1,0.07
"ANTON.KHUDOBIN","2017-2018","BOS",31,1780.73,1623,1216,876,76,81.53,91.32,93.75,90.69,0.63,335,7,97.91,324,26,91.98,217,43,80.18,5.53,0.19
"ANTTI.NIEMI","2017-2018","PIT/MTL/FLA",24,1213.1,1333,1005,710,63,66.21,91.13,93.73,90.67,0.45,259,4,98.46,285,24,91.58,166,35,78.92,3.21,0.14
"ANTTI.RAANTA","2017-2018","ARI",47,2579.07,2620,2017,1378,96,115.95,93.03,95.24,91.59,1.45,613,14,97.72,466,31,93.35,299,51,82.94,19.95,0.43
"BEN.BISHOP","2017-2018","DAL",53,2886.81,2758,1979,1434,120,121.98,91.63,93.94,91.49,0.14,596,18,96.98,542,53,90.22,296,49,83.45,1.98,0.04
"BRADEN.HOLTBY","2017-2018","WSH",54,3067.8,3123,2347,1648,153,150.83,90.72,93.48,90.85,-0.13,630,7,98.89,630,55,91.27,388,91,76.55,-2.17,-0.04
"BRIAN.ELLIOTT","2017-2018","PHI",43,2501.98,2345,1724,1217,111,105.11,90.88,93.56,91.36,-0.48,500,11,97.8,452,42,90.71,265,58,78.11,-5.89,-0.15
"CAM.TALBOT","2017-2018","EDM",67,3705.39,3712,2748,2024,187,192.22,90.76,93.2,90.5,0.26,785,17,97.83,746,67,91.02,493,103,79.11,5.22,0.08
"CAM.WARD","2017-2018","CAR",43,2454.32,2151,1630,1186,112,101.79,90.56,93.13,91.42,-0.86,523,14,97.32,410,43,89.51,253,55,78.26,-10.21,-0.26
"CAREY.PRICE","2017-2018","MTL",49,2834.64,2793,1989,1481,148,126.33,90.01,92.56,91.47,-1.46,642,17,97.35,537,56,89.57,302,75,75.17,-21.67,-0.44
"CARTER.HUTTON","2017-2018","STL",32,1609.54,1526,1086,810,56,72.92,93.09,94.84,91,2.09,338,6,98.22,292,13,95.55,180,37,79.44,16.92,0.63
"CASEY.DESMITH","2017-2018","PIT",14,700.15,665,490,356,28,35.79,92.13,94.29,89.95,2.19,135,2,98.52,118,4,96.61,103,22,78.64,7.79,0.66
"CHAD.JOHNSON","2017-2018","BUF",36,1769.67,1682,1315,959,104,85.68,89.16,92.09,91.07,-1.91,402,8,98.01,344,37,89.24,213,59,72.3,-18.32,-0.57
"CHARLIE.LINDGREN","2017-2018","MTL",14,832.97,846,645,457,42,42.59,90.81,93.49,90.68,0.13,183,2,98.91,157,14,91.08,117,26,77.78,0.59,0.04
"CHRIS.GIBSON","2017-2018","NYI",8,426.86,514,392,284,26,26.65,90.85,93.37,90.62,0.23,107,2,98.13,113,12,89.38,64,12,81.25,0.65,0.07
"CONNOR.HELLEBUYCK","2017-2018","WPG",67,3960.9,3845,2854,2047,156,174.99,92.38,94.53,91.45,0.93,889,21,97.64,754,59,92.18,404,76,81.19,18.99,0.28
