"Player","Season","Team","GP","TOI","CA","FA","SA","GA","xGA","Sv%","FSv%","xSv%","dSv%","LDSA","LDGA","LDSv%","MDSA","MDGA","MDSv%","HDSA","HDGA","HDSv%","GSAA","GSAA30"
"AARON.DELL","2018-2019","S.J",3,185.42,189,152,101,8,12.2,92.08,94.74,87.92,4.16,32,0,100,31,2,93.55,38,6,84.21,4.2,1.25
"ALEXANDAR.GEORGIEV","2018-2019","NYR",2,118.42,135,105,77,9,7.28,88.31,91.43,90.55,-2.23,25,1,96,30,3,90,22,5,77.27,-1.72,-0.67
"ALEX.STALOCK","2018-2019","MIN",3,181.62,193,149,95,10,10.38,89.47,93.29,89.07,0.4,36,0,100,39,3,92.31,20,7,65,0.38,0.12
"ANDERS.NILSSON","2018-2019","VAN",6,338.95,336,250,169,16,14.36,90.53,93.6,91.5,-0.97,64,1,98.44,74,6,91.89,31,9,70.97,-1.64,-0.29
"ANDREI.VASILEVSKIY","2018-2019","T.B",8,486.03,454,343,248,16,18.05,93.55,95.34,92.72,0.83,97,2,97.94,118,6,94.92,33,8,75.76,2.05,0.25
"ANTON.KHUDOBIN","2018-2019","DAL",2,119.3,103,81,59,6,5.55,89.83,92.59,90.59,-0.76,18,1,94.44,24,3,87.5,17,2,88.24,-0.45,-0.23
"ANTTI.NIEMI","2018-2019","MTL",3,184.1,180,141,98,10,8.03,89.8,92.91,91.81,-2.01,42,1,97.62,33,4,87.88,23,5,78.26,-1.97,-0.6
"ANTTI.RAANTA","2018-2019","ARI",8,481.77,430,320,215,16,19.8,92.56,95,90.79,1.77,77,1,98.7,87,6,93.1,51,9,82.35,3.8,0.53
"BEN.BISHOP","2018-2019","DAL",9,531.28,515,379,265,20,22.16,92.45,94.72,91.64,0.82,115,4,96.52,98,9,90.82,52,7,86.54,2.16,0.24
"BRADEN.HOLTBY","2018-2019","WSH",8,440.07,413,312,223,25,20.77,88.79,91.99,90.69,-1.9,91,3,96.7,78,7,91.03,54,15,72.22,-4.23,-0.57
"BRIAN.ELLIOTT","2018-2019","PHI",9,500.25,470,346,244,27,26.41,88.93,92.2,89.18,-0.24,88,2,97.73,92,8,91.3,64,17,73.44,-0.59,-0.07
"CALVIN.PICKARD","2018-2019","PHI",3,139.45,120,95,66,11,6.84,83.33,88.42,89.64,-6.3,30,2,93.33,15,2,86.67,21,7,66.67,-4.16,-1.89
"CAM.TALBOT","2018-2019","EDM",10,597.5,558,402,293,28,25.94,90.44,93.03,91.15,-0.7,114,2,98.25,118,11,90.68,61,15,75.41,-2.06,-0.21
"CAM.WARD","2018-2019","CHI",7,429.43,420,322,253,28,25.04,88.93,91.3,90.1,-1.17,89,1,98.88,96,10,89.58,68,17,75,-2.96,-0.35
"CAREY.PRICE","2018-2019","MTL",8,482.63,413,293,213,18,18.01,91.55,93.86,91.54,0,80,0,100,90,10,88.89,43,8,81.4,0.01,0
"CARTER.HUTTON","2018-2019","BUF",9,531.07,505,391,290,26,26.91,91.03,93.35,90.72,0.31,122,3,97.54,102,10,90.2,66,13,80.3,0.91,0.09
"CASEY.DESMITH","2018-2019","PIT",5,269.65,280,203,148,10,12.23,93.24,95.07,91.74,1.51,68,0,100,50,5,90,30,5,83.33,2.23,0.45
"CHAD.JOHNSON","2018-2019","STL",3,109.65,78,60,47,6,3.61,87.23,90,92.32,-5.09,20,0,100,17,3,82.35,10,3,70,-2.39,-1.53
"CONNOR.HELLEBUYCK","2018-2019","WPG",9,539.62,520,400,290,27,28.63,90.69,93.25,90.13,0.56,105,1,99.05,120,11,90.83,65,15,76.92,1.63,0.17
