"Player","Season","Team","GP","TOI","CA","FA","SA","GA","xGA","Sv%","FSv%","xSv%","dSv%","LDSA","LDGA","LDSv%","MDSA","MDGA","MDSv%","HDSA","HDGA","HDSv%","GSAA","GSAA30"
"COREY.CRAWFORD","2018-2019","CHI",6,352.8,336,255,176,16,16.68,90.91,93.73,90.52,0.39,62,0,100,67,9,86.57,47,7,85.11,0.68,0.12
"CORY.SCHNEIDER","2018-2019","N.J",1,14.97,9,7,6,1,0.4,83.33,85.71,93.33,-10,4,0,100,0,0,NA,2,1,50,-0.6,-3
"CRAIG.ANDERSON","2018-2019","OTT",10,587.32,705,511,372,34,30.84,90.86,93.35,91.71,-0.85,181,4,97.79,122,14,88.52,69,16,76.81,-3.16,-0.25
"CURTIS.MCELHINNEY","2018-2019","CAR",4,239.23,180,138,102,11,9.66,89.22,92.03,90.53,-1.31,37,0,100,44,4,90.91,21,7,66.67,-1.34,-0.39
"DARCY.KUEMPER","2018-2019","ARI",3,178.5,163,133,92,4,7.55,95.65,96.99,91.79,3.86,48,1,97.92,26,1,96.15,18,2,88.89,3.55,1.16
"DAVID.RITTICH","2018-2019","CGY",6,288.73,269,207,163,10,15.49,93.87,95.17,90.5,3.37,58,1,98.28,64,5,92.19,41,4,90.24,5.49,1.01
"DEVAN.DUBNYK","2018-2019","MIN",9,547.97,575,431,319,20,26.73,93.73,95.36,91.62,2.11,142,2,98.59,117,9,92.31,60,9,85,6.73,0.63
"FREDERIK.ANDERSEN","2018-2019","TOR",10,592.83,593,465,307,25,26.82,91.86,94.62,91.26,0.59,123,2,98.37,115,9,92.17,69,14,79.71,1.82,0.18
"GARRET.SPARKS","2018-2019","TOR",2,120.32,141,91,65,7,4.81,89.23,92.31,92.6,-3.37,30,3,90,24,2,91.67,11,2,81.82,-2.19,-1.01
"HENRIK.LUNDQVIST","2018-2019","NYR",10,606.42,634,462,337,28,27.36,91.69,93.94,91.88,-0.19,148,5,96.62,124,10,91.94,65,13,80,-0.64,-0.06
"JACK.CAMPBELL","2018-2019","L.A",8,397.13,388,273,205,18,16.88,91.22,93.41,91.77,-0.55,95,3,96.84,74,5,93.24,36,10,72.22,-1.12,-0.16
"JACOB.MARKSTROM","2018-2019","VAN",8,486.77,508,381,269,24,24.83,91.08,93.7,90.77,0.31,100,5,95,107,8,92.52,62,11,82.26,0.83,0.09
"JAKE.ALLEN","2018-2019","STL",9,496.45,498,357,261,33,25.13,87.36,90.76,90.37,-3.02,94,2,97.87,96,14,85.42,71,17,76.06,-7.87,-0.9
"JAMES.REIMER","2018-2019","FLA",7,317.02,261,198,148,18,15.74,87.84,90.91,89.36,-1.53,51,1,98.04,51,6,88.24,46,11,76.09,-2.26,-0.46
"JAROSLAV.HALAK","2018-2019","BOS",7,396.25,360,282,190,10,16.99,94.74,96.45,91.06,3.68,75,0,100,74,2,97.3,41,8,80.49,6.99,1.1
"JIMMY.HOWARD","2018-2019","DET",9,509.08,557,427,302,26,25.81,91.39,93.91,91.45,-0.06,100,4,96,142,10,92.96,60,12,80,-0.19,-0.02
"JOHN.GIBSON","2018-2019","ANA",10,589.37,715,539,384,24,36.78,93.75,95.55,90.42,3.33,130,3,97.69,160,9,94.38,94,12,87.23,12.78,1
"JONATHAN.BERNIER","2018-2019","DET",4,213.72,181,136,108,15,8.21,86.11,88.97,92.4,-6.29,56,4,92.86,33,5,84.85,19,6,68.42,-6.79,-1.89
"JONATHAN.QUICK","2018-2019","L.A",4,224.28,199,161,110,17,10.14,84.55,89.44,90.78,-6.24,37,2,94.59,47,7,85.11,26,8,69.23,-6.86,-1.87
"JOONAS.KORPISALO","2018-2019","CBJ",5,255.67,240,189,143,17,15.45,88.11,91.01,89.2,-1.08,50,1,98,50,4,92,43,12,72.09,-1.55,-0.33
"JUUSE.SAROS","2018-2019","NSH",8,432.55,387,294,217,18,20.06,91.71,93.88,90.76,0.95,86,4,95.35,80,5,93.75,51,9,82.35,2.06,0.28
"KEITH.KINKAID","2018-2019","N.J",9,525.8,516,376,266,24,23.76,90.98,93.62,91.07,-0.09,88,2,97.73,131,14,89.31,47,8,82.98,-0.24,-0.03
"LAURENT.BROSSOIT","2018-2019","WPG",3,179.38,203,153,116,5,10.13,95.69,96.73,91.27,4.42,50,1,98,43,2,95.35,23,2,91.3,5.13,1.33
"LINUS.ULLMARK","2018-2019","BUF",3,180.25,181,130,93,6,8.05,93.55,95.38,91.34,2.2,36,1,97.22,39,2,94.87,18,3,83.33,2.05,0.66
"LOUIS.DOMINGUE","2018-2019","T.B",3,180,191,143,106,12,8.13,88.68,91.61,92.33,-3.65,42,1,97.62,48,8,83.33,16,3,81.25,-3.87,-1.1
"MALCOLM.SUBBAN","2018-2019","VGK",3,148.42,113,85,59,7,5.39,88.14,91.76,90.86,-2.73,13,0,100,31,5,83.87,15,2,86.67,-1.61,-0.82
"MARC-ANDRE.FLEURY","2018-2019","VGK",10,577.17,439,325,233,24,20.44,89.7,92.62,91.23,-1.53,92,5,94.57,94,9,90.43,47,10,78.72,-3.56,-0.46
"MARTIN.JONES","2018-2019","S.J",9,538.82,457,339,246,24,24.96,90.24,92.92,89.85,0.39,87,4,95.4,81,6,92.59,78,14,82.05,0.96,0.12
"MATT.MURRAY","2018-2019","PIT",6,334.77,346,269,197,21,19.33,89.34,92.19,90.19,-0.85,62,1,98.39,84,8,90.48,51,12,76.47,-1.67,-0.25
"MICHAEL.HUTCHINSON","2018-2019","FLA",4,201.23,172,125,87,14,7.15,83.91,88.8,91.78,-7.87,31,1,96.77,38,7,81.58,18,6,66.67,-6.85,-2.36
"MICHAL.NEUVIRTH","2018-2019","PHI",1,60,47,32,22,6,2.05,72.73,81.25,90.68,-17.95,8,1,87.5,9,1,88.89,5,4,20,-3.95,-5.39
"MIKE.CONDON","2018-2019","OTT",2,75.25,65,50,40,8,4.55,80,84,88.62,-8.62,14,1,92.86,16,5,68.75,10,2,80,-3.45,-2.59
"MIKE.SMITH","2018-2019","CGY",9,490.02,428,327,238,29,22.68,87.82,91.13,90.47,-2.66,90,4,95.56,81,10,87.65,67,15,77.61,-6.32,-0.8
"MIKKO.KOSKINEN","2018-2019","EDM",1,58.98,63,43,27,3,2.18,88.89,93.02,91.93,-3.04,10,0,100,13,3,76.92,4,0,100,-0.82,-0.91
"PEKKA.RINNE","2018-2019","NSH",5,285.13,247,188,141,10,12.26,92.91,94.68,91.3,1.6,62,1,98.39,47,2,95.74,32,7,78.12,2.26,0.48
"PETER.BUDAJ","2018-2019","L.A",1,29.98,18,13,11,1,0.86,90.91,92.31,92.18,-1.27,6,0,100,4,1,75,1,0,100,-0.14,-0.38
"PETR.MRAZEK","2018-2019","CAR",7,418,317,233,159,18,15.85,88.68,92.27,90.03,-1.35,48,0,100,67,5,92.54,44,13,70.45,-2.15,-0.41
"PHEONIX.COPLEY","2018-2019","WSH",3,169,152,122,85,10,10.84,88.24,91.8,87.25,0.99,26,0,100,34,5,85.29,25,5,80,0.84,0.3
"PHILIPP.GRUBAUER","2018-2019","COL",4,238.87,223,175,131,11,13.17,91.6,93.71,89.95,1.66,44,0,100,51,3,94.12,36,8,77.78,2.17,0.5
"ROBERTO.LUONGO","2018-2019","FLA",1,32.35,24,20,13,0,0.67,100,100,94.85,5.15,9,0,100,3,0,100,1,0,100,0.67,1.55
"ROBIN.LEHNER","2018-2019","NYI",7,391.73,422,314,223,16,18.61,92.83,94.9,91.65,1.17,92,2,97.83,83,8,90.36,48,6,87.5,2.61,0.35
"RYAN.MILLER","2018-2019","ANA",4,197.08,205,156,117,8,10.17,93.16,94.87,91.31,1.85,39,0,100,53,5,90.57,25,3,88,2.17,0.56
"SCOTT.DARLING","2018-2019","CAR",1,57.65,61,45,31,3,3.22,90.32,93.33,89.61,0.71,9,0,100,13,2,84.62,9,1,88.89,0.22,0.21
"SEMYON.VARLAMOV","2018-2019","COL",8,481.4,502,362,261,13,22.12,95.02,96.41,91.52,3.49,116,2,98.28,87,4,95.4,58,7,87.93,9.12,1.05
"SERGEI.BOBROVSKY","2018-2019","CBJ",7,402.33,352,270,203,24,19.55,88.18,91.11,90.37,-2.19,81,3,96.3,63,9,85.71,59,12,79.66,-4.45,-0.66
"THOMAS.GREISS","2018-2019","NYI",6,264.87,279,211,150,10,12.95,93.33,95.26,91.37,1.97,51,0,100,63,3,95.24,36,7,80.56,2.95,0.59
"TUUKKA.RASK","2018-2019","BOS",6,323.63,306,234,173,17,14.75,90.17,92.74,91.47,-1.3,69,4,94.2,70,8,88.57,34,5,85.29,-2.25,-0.39
