"Player","Season","Team","GP","TOI","CA","FA","SA","GA","xGA","Sv%","FSv%","xSv%","dSv%","LDSA","LDGA","LDSv%","MDSA","MDGA","MDSv%","HDSA","HDGA","HDSv%","GSAA","GSAA30"
"PHEONIX.COPLEY","2018-2019","WSH",13,734.6,722,528,373,32,38.75,91.42,93.94,89.61,1.81,147,2,98.64,125,14,88.8,101,16,84.16,6.75,0.54
"PHILIPP.GRUBAUER","2018-2019","COL",18,957.52,937,699,516,52,46.94,89.92,92.56,90.9,-0.98,217,6,97.24,184,18,90.22,115,28,75.65,-5.06,-0.29
"RICHARD.BACHMAN","2018-2019","VAN",1,60,50,39,29,6,1.89,79.31,84.62,93.48,-14.17,13,1,92.31,13,3,76.92,3,2,33.33,-4.11,-4.25
"ROBERTO.LUONGO","2018-2019","FLA",20,1055.7,1025,776,550,57,51.94,89.64,92.65,90.56,-0.92,235,5,97.87,192,30,84.38,123,22,82.11,-5.06,-0.28
"ROBIN.LEHNER","2018-2019","NYI",20,1124.87,1080,791,561,40,48.7,92.87,94.94,91.32,1.55,228,6,97.37,215,16,92.56,118,18,84.75,8.7,0.47
"RYAN.MILLER","2018-2019","ANA",10,508.47,524,403,294,23,27.02,92.18,94.29,90.81,1.37,100,0,100,130,9,93.08,64,14,78.12,4.02,0.41
"SCOTT.DARLING","2018-2019","CAR",8,485.57,439,336,233,27,22.79,88.41,91.96,90.22,-1.81,84,3,96.43,90,14,84.44,59,10,83.05,-4.21,-0.54
"SEMYON.VARLAMOV","2018-2019","COL",25,1435.45,1420,1041,758,67,64.74,91.16,93.56,91.46,-0.3,338,5,98.52,257,28,89.11,163,34,79.14,-2.26,-0.09
"SERGEI.BOBROVSKY","2018-2019","CBJ",29,1663.15,1550,1159,847,76,78.18,91.03,93.44,90.77,0.26,346,7,97.98,299,36,87.96,202,33,83.66,2.18,0.08
"THOMAS.GREISS","2018-2019","NYI",23,1211.43,1175,869,641,53,63.78,91.73,93.9,90.05,1.68,231,6,97.4,242,18,92.56,168,29,82.74,10.78,0.5
"TRISTAN.JARRY","2018-2019","PIT",2,120.05,98,75,62,7,3.22,88.71,90.67,94.81,-6.1,39,2,94.87,17,3,82.35,6,2,66.67,-3.78,-1.83
"TUUKKA.RASK","2018-2019","BOS",20,1139.48,1038,789,584,50,50.87,91.44,93.66,91.29,0.15,236,12,94.92,218,18,91.74,130,20,84.62,0.87,0.04
