"Player","Season","Team","GP","TOI","CA","FA","SA","GA","xGA","Sv%","FSv%","xSv%","dSv%","LDSA","LDGA","LDSv%","MDSA","MDGA","MDSv%","HDSA","HDGA","HDSv%","GSAA","GSAA30"
"AARON.DELL","2016-2017","S.J",20,1110.54,1076,758,532,37,45.47,93.05,95.12,91.45,1.59,230,3,98.7,192,9,95.31,110,25,77.27,8.47,0.48
"ALEX.NEDELJKOVIC","2016-2017","CAR",1,29.83,27,23,17,0,1.14,100,100,93.29,6.71,9,0,100,6,0,100,2,0,100,1.14,2.01
"ALEX.STALOCK","2016-2017","MIN",2,118.91,99,76,54,3,4.14,94.44,96.05,92.33,2.11,22,1,95.45,23,1,95.65,9,1,88.89,1.14,0.63
"AL.MONTOYA","2016-2017","MTL",19,1124.88,998,770,569,50,51.45,91.21,93.51,90.96,0.25,227,6,97.36,203,16,92.12,139,28,79.86,1.45,0.08
"ANDERS.NILSSON","2016-2017","BUF",26,1484.24,1545,1196,858,66,76.78,92.31,94.48,91.05,1.26,342,6,98.25,307,23,92.51,209,37,82.3,10.78,0.38
"ANDREI.VASILEVSKIY","2016-2017","T.B",50,2831.13,2550,1979,1480,123,116.21,91.69,93.78,92.15,-0.46,619,20,96.77,581,48,91.74,280,55,80.36,-6.79,-0.14
"ANDREW.HAMMOND","2016-2017","OTT",6,189.38,151,116,81,13,7.96,83.95,88.79,90.17,-6.22,32,2,93.75,26,5,80.77,23,6,73.91,-5.04,-1.87
"ANTHONY.STOLARZ","2016-2017","PHI",7,376.08,319,244,181,13,15.42,92.82,94.67,91.48,1.34,74,0,100,67,4,94.03,40,9,77.5,2.42,0.4
"ANTOINE.BIBEAU","2016-2017","TOR",2,120.64,114,87,55,4,3.93,92.73,95.4,92.85,-0.13,23,0,100,22,1,95.45,10,3,70,-0.07,-0.04
"ANTON.FORSBERG","2016-2017","CBJ",1,58.58,50,39,27,4,2.13,85.19,89.74,92.11,-6.93,12,0,100,10,1,90,5,3,40,-1.87,-2.08
"ANTON.KHUDOBIN","2016-2017","BOS",16,864.8,729,556,402,38,35.11,90.55,93.17,91.27,-0.72,151,2,98.68,161,14,91.3,90,22,75.56,-2.89,-0.22
"ANTTI.NIEMI","2016-2017","DAL",37,1728.49,1732,1257,881,95,79.83,89.22,92.44,90.94,-1.72,363,7,98.07,310,34,89.03,208,54,74.04,-15.17,-0.52
"ANTTI.RAANTA","2016-2017","NYR",30,1617.32,1464,1083,782,61,68.37,92.2,94.37,91.26,0.94,314,5,98.41,280,19,93.21,188,37,80.32,7.37,0.28
"BEN.BISHOP","2016-2017","T.B/L.A",39,2222.61,1923,1463,1040,94,88.59,90.96,93.57,91.48,-0.52,408,10,97.55,408,39,90.44,224,45,79.91,-5.41,-0.16
"BRADEN.HOLTBY","2016-2017","WSH",63,3680.15,3249,2428,1690,127,144.13,92.49,94.77,91.47,1.01,701,6,99.14,608,43,92.93,381,78,79.53,17.13,0.3
"BRIAN.ELLIOTT","2016-2017","CGY",49,2824.42,2463,1839,1331,121,121.1,90.91,93.42,90.9,0.01,523,11,97.9,490,35,92.86,318,75,76.42,0.1,0
"CALVIN.PICKARD","2016-2017","COL",50,2800.19,2560,1975,1449,140,116.85,90.34,92.91,91.94,-1.6,662,16,97.58,489,47,90.39,298,77,74.16,-23.15,-0.48
"CAM.TALBOT","2016-2017","EDM",73,4289,4014,2892,2109,171,198.77,91.89,94.09,90.58,1.32,742,16,97.84,840,52,93.81,527,103,80.46,27.77,0.4
"CAM.WARD","2016-2017","CAR",61,3617.87,3147,2389,1711,162,151.22,90.53,93.22,91.16,-0.63,694,15,97.84,628,55,91.24,389,92,76.35,-10.78,-0.19
"CAREY.PRICE","2016-2017","MTL",62,3708.11,3378,2408,1794,138,151.12,92.31,94.27,91.58,0.73,779,23,97.05,594,53,91.08,421,62,85.27,13.12,0.22
"CARTER.HUTTON","2016-2017","STL",30,1459.06,1264,930,663,58,55.96,91.25,93.76,91.56,-0.31,256,5,98.05,260,20,92.31,147,33,77.55,-2.04,-0.09
"CHAD.JOHNSON","2016-2017","CGY",36,2013.24,1850,1392,969,87,86.01,91.02,93.75,91.12,-0.1,368,5,98.64,377,33,91.25,224,49,78.12,-0.99,-0.03
"CHARLIE.LINDGREN","2016-2017","MTL",2,121.69,93,80,59,3,4.53,94.92,96.25,92.32,2.59,24,0,100,26,2,92.31,9,1,88.89,1.53,0.78
"CHRIS.DRIEDGER","2016-2017","OTT",1,40,39,26,15,4,1.6,73.33,84.62,89.33,-16,4,1,75,9,2,77.78,2,1,50,-2.4,-4.8
"CONNOR.HELLEBUYCK","2016-2017","WPG",55,3013.51,2850,2130,1567,144,132.93,90.81,93.24,91.52,-0.71,640,17,97.34,603,51,91.54,324,76,76.54,-11.07,-0.21
"COREY.CRAWFORD","2016-2017","CHI",55,3246.89,3059,2269,1690,138,147.81,91.83,93.92,91.25,0.58,660,15,97.73,639,45,92.96,391,78,80.05,9.81,0.17
"CORY.SCHNEIDER","2016-2017","N.J",60,3467.84,3123,2443,1779,163,156.71,90.84,93.33,91.19,-0.35,658,12,98.18,704,66,90.62,417,85,79.62,-6.29,-0.11
"CRAIG.ANDERSON","2016-2017","OTT",40,2421.24,2435,1739,1247,92,101.64,92.62,94.71,91.85,0.77,542,10,98.15,450,37,91.78,255,45,82.35,9.64,0.23
"CURTIS.MCELHINNEY","2016-2017","CBJ/TOR",21,1134.59,1106,856,616,51,52.21,91.72,94.04,91.52,0.2,249,10,95.98,232,21,90.95,135,20,85.19,1.21,0.06
"DARCY.KUEMPER","2016-2017","MIN",18,1053.05,1045,791,562,55,44.81,90.21,93.05,92.03,-1.81,276,8,97.1,174,20,88.51,112,27,75.89,-10.19,-0.54
"DAVID.RITTICH","2016-2017","CGY",1,20,21,13,10,1,1.31,90,92.31,86.9,3.1,3,0,100,5,0,100,2,1,50,0.31,0.93
"DEVAN.DUBNYK","2016-2017","MIN",65,3753.01,3441,2563,1839,141,133.45,92.33,94.5,92.74,-0.41,896,19,97.88,637,61,90.42,306,61,80.07,-7.55,-0.12
"DUSTIN.TOKARSKI","2016-2017","ANA",1,9.78,8,7,5,0,0.73,100,100,85.4,14.6,1,0,100,1,0,100,3,0,100,0.73,4.38
"EDDIE.LACK","2016-2017","CAR",20,1089.86,976,738,492,48,43.59,90.24,93.5,91.14,-0.9,204,4,98.04,161,17,89.44,127,27,78.74,-4.41,-0.27
"ERIC.COMRIE","2016-2017","WPG",1,59.29,71,50,39,4,3.96,89.74,92,89.85,-0.1,16,1,93.75,12,0,100,11,3,72.73,-0.04,-0.03
"FREDERIK.ANDERSEN","2016-2017","TOR",66,3799.35,3841,2922,2052,169,184.64,91.76,94.22,91,0.76,806,12,98.51,769,68,91.16,477,89,81.34,15.64,0.23
"HENRIK.LUNDQVIST","2016-2017","NYR",57,3240.43,3140,2306,1650,148,149.39,91.03,93.58,90.95,0.08,686,18,97.38,557,50,91.02,407,80,80.34,1.39,0.03
"JACK.CAMPBELL","2016-2017","L.A",1,20,10,10,5,0,0.22,100,100,95.6,4.4,2,0,100,3,0,100,0,0,NA,0.22,1.32
"JACOB.MARKSTROM","2016-2017","VAN",25,1411.84,1225,949,693,62,62.03,91.05,93.47,91.05,0,252,7,97.22,281,19,93.24,160,36,77.5,0.03,0
"JAKE.ALLEN","2016-2017","STL",61,3418.32,3022,2241,1620,138,130.45,91.48,93.84,91.95,-0.47,684,17,97.51,607,53,91.27,329,68,79.33,-7.55,-0.14
"JAMES.REIMER","2016-2017","FLA",43,2324.56,2058,1634,1222,98,102.47,91.98,94,91.61,0.37,468,7,98.5,519,38,92.68,235,53,77.45,4.47,0.11
"JARED.COREAU","2016-2017","DET",14,707.28,660,506,360,41,33.65,88.61,91.9,90.65,-2.04,138,3,97.83,139,17,87.77,83,21,74.7,-7.35,-0.61
"JAROSLAV.HALAK","2016-2017","NYI",28,1605.48,1715,1228,885,75,83.13,91.53,93.89,90.61,0.92,329,13,96.05,339,15,95.58,217,47,78.34,8.13,0.28
"JEAN-FRANCOIS.BERUBE","2016-2017","NYI",14,526.83,465,365,271,30,21.02,88.93,91.78,92.24,-3.31,111,4,96.4,114,14,87.72,46,12,73.91,-8.98,-0.99
"JEFF.ZATKOFF","2016-2017","L.A",13,550.42,413,301,223,27,18.51,87.89,91.03,91.7,-3.81,95,1,98.95,75,8,89.33,53,18,66.04,-8.49,-1.14
