"Player","Season","Team","GP","TOI","CA","FA","SA","GA","xGA","Sv%","FSv%","xSv%","dSv%","LDSA","LDGA","LDSv%","MDSA","MDGA","MDSv%","HDSA","HDGA","HDSv%","GSAA","GSAA30"
"JEREMY.SMITH","2016-2017","COL",10,542.71,487,377,286,32,25.72,88.81,91.51,91.01,-2.2,114,1,99.12,114,12,89.47,58,19,67.24,-6.28,-0.66
"JHONAS.ENROTH","2016-2017","TOR",6,274.43,242,190,141,18,14.05,87.23,90.53,90.04,-2.8,51,2,96.08,55,7,87.27,35,9,74.29,-3.95,-0.84
"JIMMY.HOWARD","2016-2017","DET",26,1396.72,1271,957,675,49,55.89,92.74,94.88,91.72,1.02,276,10,96.38,258,13,94.96,141,26,81.56,6.89,0.31
"JOHN.GIBSON","2016-2017","ANA",52,2950.35,2657,2009,1438,109,130.89,92.42,94.57,90.9,1.52,532,11,97.93,546,25,95.42,360,73,79.72,21.89,0.46
"JONAS.GUSTAVSSON","2016-2017","EDM",7,328.97,272,196,139,17,11.87,87.77,91.33,91.46,-3.69,48,2,95.83,62,10,83.87,29,5,82.76,-5.13,-1.11
"JONATHAN.BERNIER","2016-2017","ANA",39,1993.18,1985,1489,982,83,84.26,91.55,94.43,91.42,0.13,389,12,96.92,374,24,93.58,219,47,78.54,1.26,0.04
"JONATHAN.QUICK","2016-2017","L.A",17,930.96,833,633,421,35,38.41,91.69,94.47,90.88,0.81,167,3,98.2,143,8,94.41,111,24,78.38,3.41,0.24
"JON.GILLIES","2016-2017","CGY",1,60,57,46,28,1,2.23,96.43,97.83,92.04,4.39,10,0,100,13,1,92.31,5,0,100,1.23,1.32
"JOONAS.KORPISALO","2016-2017","CBJ",14,790.52,776,590,401,38,36.69,90.52,93.56,90.85,-0.33,160,7,95.62,146,11,92.47,95,20,78.95,-1.31,-0.1
"JORGE.ALVES","2016-2017","CAR",1,0.13,0,0,0,0,0,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,NA
"JUSTIN.PETERS","2016-2017","ARI",3,132.92,116,92,70,7,6.16,90,92.39,91.2,-1.2,24,1,95.83,31,3,90.32,15,3,80,-0.84,-0.36
"JUUSE.SAROS","2016-2017","NSH",21,1199.92,1159,886,614,47,50.42,92.35,94.7,91.79,0.56,257,5,98.05,235,13,94.47,122,29,76.23,3.42,0.17
"KARI.LEHTONEN","2016-2017","DAL",59,3177.13,3061,2214,1547,151,147.61,90.24,93.18,90.46,-0.22,586,17,97.1,566,46,91.87,395,88,77.72,-3.39,-0.07
"KEITH.KINKAID","2016-2017","N.J",26,1476.07,1395,1052,779,65,68.81,91.66,93.82,91.17,0.49,289,2,99.31,310,23,92.58,180,40,77.78,3.81,0.15
"KRISTERS.GUDLEVSKIS","2016-2017","T.B",1,11.45,7,6,3,0,0.2,100,100,93.33,6.67,1,0,100,2,0,100,0,0,NA,0.2,2
"LAURENT.BROSSOIT","2016-2017","EDM",8,332.45,305,213,153,11,13.78,92.81,94.84,90.99,1.82,54,0,100,67,8,88.06,32,3,90.62,2.78,0.55
"LINUS.ULLMARK","2016-2017","BUF",1,58.73,55,43,36,3,3.45,91.67,93.02,90.42,1.25,10,0,100,16,1,93.75,10,2,80,0.45,0.38
"LOUIS.DOMINGUE","2016-2017","ARI",31,1598.68,1668,1262,888,82,75.02,90.77,93.5,91.55,-0.79,372,15,95.97,326,29,91.1,190,38,80,-6.98,-0.24
"MAGNUS.HELLBERG","2016-2017","NYR",2,78.52,66,42,28,2,2.48,92.86,95.24,91.14,1.71,12,0,100,9,0,100,7,2,71.43,0.48,0.51
"MALCOLM.SUBBAN","2016-2017","BOS",1,30.6,25,23,16,3,1.06,81.25,86.96,93.38,-12.12,7,0,100,6,1,83.33,3,2,33.33,-1.94,-3.64
"MARC-ANDRE.FLEURY","2016-2017","PIT",38,2125.26,2084,1548,1181,107,116,90.94,93.09,90.18,0.76,421,7,98.34,421,35,91.69,339,65,80.83,9,0.23
"MAREK.LANGHAMER","2016-2017","ARI",1,15.52,18,11,8,1,0.62,87.5,90.91,92.25,-4.75,4,1,75,2,0,100,2,0,100,-0.38,-1.43
"MAREK.MAZANEC","2016-2017","NSH",4,177.58,158,127,87,14,8.53,83.91,88.98,90.2,-6.29,29,0,100,35,6,82.86,23,8,65.22,-5.47,-1.89
"MARTIN.JONES","2016-2017","S.J",64,3739.01,3455,2445,1692,150,153.19,91.13,93.87,90.95,0.19,618,14,97.73,664,52,92.17,410,84,79.51,3.19,0.06
"MATTHEW.MURRAY","2016-2017","PIT",49,2765.83,2700,1946,1450,111,133.03,92.34,94.3,90.83,1.52,547,10,98.17,538,35,93.49,365,66,81.92,22.03,0.46
"MICHAEL.HUTCHINSON","2016-2017","WPG",28,1378.33,1253,931,691,67,57.29,90.3,92.8,91.71,-1.41,245,6,97.55,309,27,91.26,137,34,75.18,-9.71,-0.42
"MICHAEL.LEIGHTON","2016-2017","CAR",4,210.27,188,131,92,12,8.99,86.96,90.84,90.23,-3.27,32,1,96.88,34,3,91.18,26,8,69.23,-3.01,-0.98
"MICHAL.NEUVIRTH","2016-2017","PHI",28,1363.62,1189,818,586,64,50.13,89.08,92.18,91.45,-2.37,221,13,94.12,237,16,93.25,128,35,72.66,-13.87,-0.71
"MIKE.CONDON","2016-2017","OTT/PIT",41,2324.01,2234,1628,1122,96,93.56,91.44,94.1,91.66,-0.22,454,13,97.14,444,42,90.54,224,41,81.7,-2.44,-0.07
"MIKE.SMITH","2016-2017","ARI",55,3202.1,3430,2657,1819,156,159.51,91.42,94.13,91.23,0.19,706,13,98.16,678,47,93.07,435,96,77.93,3.51,0.06
"ONDREJ.PAVELEC","2016-2017","WPG",8,439.46,401,295,233,26,21.22,88.84,91.19,90.89,-2.05,84,2,97.62,93,10,89.25,56,14,75,-4.78,-0.62
"PEKKA.RINNE","2016-2017","NSH",61,3547.78,3210,2416,1743,144,138.64,91.74,94.04,92.05,-0.31,727,13,98.21,714,52,92.72,302,79,73.84,-5.36,-0.09
"PETER.BUDAJ","2016-2017","L.A/T.B",60,3308.28,2763,2029,1414,120,117.64,91.51,94.09,91.68,-0.17,573,11,98.08,537,48,91.06,304,61,79.93,-2.36,-0.05
"PETR.MRAZEK","2016-2017","DET",50,2857.52,2583,1991,1462,145,132.03,90.08,92.72,90.97,-0.89,552,11,98.01,533,62,88.37,377,72,80.9,-12.97,-0.27
"PHEONIX.COPLEY","2016-2017","STL",1,58.93,48,37,29,5,3.38,82.76,86.49,88.34,-5.59,6,0,100,12,2,83.33,11,3,72.73,-1.62,-1.68
"PHILIPP.GRUBAUER","2016-2017","WSH",24,1264.56,1108,829,585,43,53.28,92.65,94.81,90.89,1.76,230,1,99.57,212,10,95.28,143,32,77.62,10.28,0.53
"RETO.BERRA","2016-2017","FLA",7,313.12,263,211,145,18,14.39,87.59,91.47,90.08,-2.49,56,2,96.43,49,4,91.84,40,12,70,-3.61,-0.75
"RICHARD.BACHMAN","2016-2017","VAN",5,295.17,305,236,162,13,15.58,91.98,94.49,90.38,1.59,51,1,98.04,69,4,94.2,42,8,80.95,2.58,0.48
"ROBERTO.LUONGO","2016-2017","FLA",40,2327.15,2017,1582,1218,104,107.46,91.46,93.43,91.18,0.28,476,12,97.48,486,39,91.98,256,53,79.3,3.46,0.09
"ROBIN.LEHNER","2016-2017","BUF",59,3405.46,3321,2566,1912,152,150.85,92.05,94.08,92.11,-0.06,895,12,98.66,636,50,92.14,381,90,76.38,-1.15,-0.02
"RYAN.MILLER","2016-2017","VAN",54,3211.83,2998,2315,1737,150,154.45,91.36,93.52,91.11,0.26,665,21,96.84,684,41,94.01,388,88,77.32,4.45,0.08
"SCOTT.DARLING","2016-2017","CHI",32,1688.58,1574,1145,877,67,78.28,92.36,94.15,91.07,1.29,337,7,97.92,323,23,92.88,217,37,82.95,11.28,0.39
"SEMYON.VARLAMOV","2016-2017","COL",24,1347.78,1314,981,745,76,61.65,89.8,92.25,91.72,-1.93,307,5,98.37,271,29,89.3,167,42,74.85,-14.35,-0.58
"SERGEI.BOBROVSKY","2016-2017","CBJ",63,3707.01,3451,2560,1853,127,168.94,93.15,95.04,90.88,2.26,765,17,97.78,629,37,94.12,459,73,84.1,41.94,0.68
"SPENCER.MARTIN","2016-2017","COL",3,179.45,169,130,96,13,13.41,86.46,90,86.03,0.43,23,1,95.65,35,3,91.43,38,9,76.32,0.41,0.13
"STEVE.MASON","2016-2017","PHI",58,3224.5,3021,2165,1556,143,132.63,90.81,93.39,91.48,-0.67,650,9,98.62,560,45,91.96,346,89,74.28,-10.37,-0.2
"THOMAS.GREISS","2016-2017","NYI",51,2813.31,2861,2086,1453,126,132.48,91.33,93.96,90.88,0.45,524,13,97.52,571,48,91.59,358,65,81.84,6.48,0.13
"TRISTAN.JARRY","2016-2017","PIT",1,58.75,50,38,25,3,2.43,88,92.11,90.28,-2.28,10,1,90,8,1,87.5,7,1,85.71,-0.57,-0.68
"TUUKKA.RASK","2016-2017","BOS",65,3659.58,3105,2280,1604,137,131.78,91.46,93.99,91.78,-0.33,684,13,98.1,606,60,90.1,314,64,79.62,-5.22,-0.1
"ZANE.MCINTYRE","2016-2017","BOS",8,332.63,290,206,155,22,15.59,85.81,89.32,89.94,-4.14,58,1,98.28,53,4,92.45,44,17,61.36,-6.41,-1.24
